Toronto Star|2020 01 07|Transgender boy sues NY state over sex on birth certificate
Toronto Star|2020 01 07|Transgender students secure unrestricted locker room access
Toronto Star|2020 01 10|Transgender teen has right to transition despite father’s opposition, B.C.’s appeal court rules
Toronto Star|2020 01 14|Dutch YouTube star Nikkie de Jager says she is transgender
Toronto Star|2020 02 10|Ban on treatments for transgender kids fails in South Dakota
Toronto Star|2020 02 12|Girls sue to block participation of transgender athletes
Toronto Star|2020 02 12|Judge rules Oklahoma transgender inmate lawsuit can proceed
Toronto Star|2020 02 12|Transgender felons seek to ease state rules on name changes
Toronto Star|2020 02 14|Transgender woman poised to make Argentine soccer history
Toronto Star|2020 02 17|US judge dismisses lawsuit over transgender pronoun dispute
Toronto Star|2020 02 19|Alabama lawmakers advance bill aimed at transgender athletes
Toronto Star|2020 02 20|As transgender rights improve, prisons struggle with tough decisions
Toronto Star|2020 02 24|Republicans to honour girls suing over transgender policy
Toronto Star|2020 02 27|Lawyer: Win over transgender runner shouldn’t affect suit
Toronto Star|2020 03 12|Advocates: Transgender woman sexually assaulted at ICE site
Toronto Star|2020 03 15|Dream of a lifetime: Transgender man yearns to join military
Toronto Star|2020 03 18|US naval officer sues over military transgender ban
Toronto Star|2020 03 18|Man convicted in killings of 2 gay men, transgender woman
Toronto Star|2020 03 19|Correction: LT--Argentina-Transgender Newscaster story
Toronto Star|2020 03 27|In Egypt, transgender activist fights battle on many fronts
Toronto Star|2020 03 29|In Egypt, transgender activist fights battle on many fronts
Toronto Star|2020 04 16|Idaho’s transgender birth certificate ban goes back to court
Toronto Star|2020 04 24|Panama’s gender-based quarantine problem for transsexuals
Toronto Star|2020 04 29|Transgender fire chief files discrimination suit over firing
Toronto Star|2020 05 11|Transgender woman in hospice while awaiting court ruling
Toronto Star|2020 05 14|Michigan woman at centre of transgender rights case dies
Toronto Star|2020 05 14|Transgender woman in hospice while awaiting court ruling
Toronto Star|2020 05 16|2 Missouri officers accused of assaulting transgender woman
Toronto Star|2020 05 19|Hungary bans legal recognition of its transgender citizens
Toronto Star|2020 05 22|U.S. Supreme Court won’t put transgender inmate surgery on hold
Toronto Star|2020 05 26|Virginia school board defends transgender bathroom ban
Toronto Star|2020 05 28|U.S. Education Department says transgender sports inclusion violates others’ rights
Toronto Star|2020 05 29|Harry Potter author J.K. Rowling clashes with B.C. transgender activist online
Toronto Star|2020 05 29|Inclusion of transgender student athletes violates Title IX, Trump administration says
Toronto Star|2020 05 30|Police: Trans man fatally shot by officer after pointing gun
Toronto Star|2020 06 02|Police: Trans man fatally shot by officer after pointing gun
Toronto Star|2020 06 08|JK Rowling’s tweets on transgender people spark outrage
Toronto Star|2020 06 08|J.K. Rowling behaving like a paranoid Muggle with her hurtful jab at transgender people
Toronto Star|2020 06 09|Daniel Radcliffe criticizes J.K. Rowling’s anti-transgender tweets
Toronto Star|2020 06 13|Trump administration revokes transgender health protection
Toronto Star|2020 06 15|Supreme Court says gay, transgender workers protected by law
Toronto Star|2020 06 19|Trump administration backs Idaho transgender sports ban
Toronto Star|2020 06 20|Transgender lives onscreen — seen, but not always believable
Toronto Star|2020 07 09|Dallas man charged in fatal shooting of transgender woman
Toronto Star|2020 07 16|J.K. Rowling’s transgender comments are misunderstood and misconstrued
Toronto Star|2020 07 20|Dem AGs sue to stop rule revoking transgender protections
Toronto Star|2020 07 24|Baptist pastor in Mississauga fired after coming out as transgender
Toronto Star|2020 08 01|‘No tenderness,’ ‘no listening.’ Why supporters sat outside a police station overnight to greet Black trans woman Moka Dawkins after her arrest
Toronto Star|2020 08 02|Trial starts in case of mutilated, murdered transgender teen
Toronto Star|2020 08 03|Trial begins for man accused of killing transgender teen
Toronto Star|2020 08 10|Appeals court rules for transgender man in bathroom case
Toronto Star|2020 08 18|Trump rule on transgender health blocked at the 11th hour
Toronto Star|2020 08 26|Court: School transgender bathroom policy unconstitutional
Toronto Star|2020 08 28|Study finds chronic health issues more common among transgender people
Toronto Star|2020 08 29|J.K. Rowling returns human rights award after controversy over transgender comments
Toronto Star|2020 08 31|Family settles lawsuit over death of trans woman in NYC jail
Toronto Star|2020 09 08|Philippine leader pardons US Marine in transgender killing
Toronto Star|2020 09 13|Philippines deports US Marine in transgender killing
Toronto Star|2020 09 17|Federal funding threatened over transgender athlete policy
Toronto Star|2020 09 17|Group appeals US judge’s Idaho transgender sports ban ruling
Toronto Star|2020 09 23|Appeals court rejects rehearing in transgender bathroom case
Toronto Star|2020 09 23|After coming out as a transgender person, Canadian soccer player Quinn finds comfort and challenges in sport
Toronto Star|2020 09 27|California will house transgender inmates by gender identity
Toronto Star|2020 09 28|Court: Private locker room violated transgender boy’s rights
Toronto Star|2020 09 30|Trans person shot in Puerto Rico in 6th killing this year
Toronto Star|2020 10 07|Belgium’s 1st transgender vice-premier target of verbal barb
Toronto Star|2020 10 08|Transgender woman beaten, stabbed in Puerto Rico
